experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,31.314935064935067,32.516129032258064,"{""family"": ""near_gate"", ""train_mra"": 0.3131493506493507, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 155}"
near_gate_cv,1,31.766612641815232,30.71428571428571,"{""family"": ""near_gate"", ""train_mra"": 0.31766612641815234, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,2,30.956239870340358,33.961038961038966,"{""family"": ""near_gate"", ""train_mra"": 0.3095623987034036, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,3,31.329011345218806,32.077922077922075,"{""family"": ""near_gate"", ""train_mra"": 0.31329011345218805, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 153}"
near_gate_cv,4,32.414910858995135,28.116883116883113,"{""family"": ""near_gate"", ""train_mra"": 0.3241491085899514, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
spread_gate_cv,0,31.3961038961039,32.903225806451616,"{""family"": ""spread_gate"", ""train_mra"": 0.313961038961039, ""threshold_p90"": 0.7143644192965235, ""threshold_spread"": 0.28137530182031484, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 153}"
spread_gate_cv,1,31.944894651539705,30.71428571428571,"{""family"": ""spread_gate"", ""train_mra"": 0.31944894651539707, ""threshold_p90"": 0.7001287634695965, ""threshold_spread"": 0.26745557469016634, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,2,31.13452188006483,33.961038961038966,"{""family"": ""spread_gate"", ""train_mra"": 0.3113452188006483, ""threshold_p90"": 0.687400033323844, ""threshold_spread"": 0.2640946233772916, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
spread_gate_cv,3,31.507293354943272,32.467532467532465,"{""family"": ""spread_gate"", ""train_mra"": 0.3150729335494327, ""threshold_p90"": 0.7242622326456164, ""threshold_spread"": 0.255470500846867, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,4,32.52836304700162,28.18181818181818,"{""family"": ""spread_gate"", ""train_mra"": 0.3252836304700162, ""threshold_p90"": 0.9017324525628279, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p10"", ""loose_quantile"": ""p90""}","{""p10"": 6, ""p90"": 148}"
stump_cv,0,32.27272727272727,32.25806451612903,"{""family"": ""stump"", ""train_mra"": 0.32272727272727275, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.6019474196689387, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 10, ""p90"": 145}"
stump_cv,1,32.6418152350081,27.98701298701299,"{""family"": ""stump"", ""train_mra"": 0.32641815235008104, ""feature"": ""frame_localized_quality_mean"", ""threshold"": 0.10278294772452003, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 41, ""p90"": 113}"
stump_cv,2,31.799027552674232,34.35064935064935,"{""family"": ""stump"", ""train_mra"": 0.3179902755267423, ""feature"": ""skew"", ""threshold"": 8.029729354814636, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 10, ""p90"": 144}"
stump_cv,3,32.25283630470016,32.532467532467535,"{""family"": ""stump"", ""train_mra"": 0.3225283630470016, ""feature"": ""skew"", ""threshold"": 7.944827770557139, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 5, ""p90"": 149}"
stump_cv,4,33.14424635332253,28.8961038961039,"{""family"": ""stump"", ""train_mra"": 0.33144246353322526, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.7050632911392403, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 12, ""p90"": 142}"
tree_depth2_cv,0,33.39285714285714,32.70967741935484,"{""family"": ""tree_depth2"", ""train_mra"": 0.3339285714285714, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.085714285714286, ""count"": 616, ""left"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 8.022834828007563, ""count"": 481, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 453, ""train_mra"": 0.31854304635761593}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 28, ""train_mra"": 0.37857142857142856}}, ""right"": {""type"": ""node"", ""feature"": ""p90"", ""threshold"": 1.0308893988803645, ""count"": 135, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 23, ""train_mra"": 0.39999999999999997}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 112, ""train_mra"": 0.37142857142857144}}}}","{""p75"": 34, ""p90"": 121}"
tree_depth2_cv,1,33.46839546191248,27.857142857142858,"{""family"": ""tree_depth2"", ""train_mra"": 0.3346839546191248, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""frame_localized_quality_mean"", ""threshold"": 0.11025600296312145, ""count"": 617, ""left"": {""type"": ""node"", ""feature"": ""det_score_mean"", ""threshold"": 0.45926003541265215, ""count"": 463, ""left"": {""type"": ""leaf"", ""quantile"": ""median"", ""count"": 40, ""train_mra"": 0.21749999999999997}, ""right"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 423, ""train_mra"": 0.3328605200945627}}, ""right"": {""type"": ""node"", ""feature"": ""iqr_norm"", ""threshold"": 0.3914356513858065, ""count"": 154, ""left"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 75, ""train_mra"": 0.424}, ""right"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 79, ""train_mra"": 0.3189873417721519}}}}","{""median"": 9, ""p75"": 18, ""p90"": 127}"
tree_depth2_cv,2,32.512155591572125,34.74025974025974,"{""family"": ""tree_depth2"", ""train_mra"": 0.3251215559157212, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 7.888669832136362, ""count"": 617, ""left"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.814545454545454, ""count"": 581, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 546, ""train_mra"": 0.31446886446886446}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 35, ""train_mra"": 0.5085714285714286}}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 36, ""train_mra"": 0.30833333333333335}}}","{""p75"": 14, ""p90"": 140}"
tree_depth2_cv,3,32.933549432739056,33.246753246753244,"{""family"": ""tree_depth2"", ""train_mra"": 0.32933549432739057, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 8.049464798598882, ""count"": 617, ""left"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.072370486656201, ""count"": 581, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 444, ""train_mra"": 0.33355855855855854}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 137, ""train_mra"": 0.31970802919708025}}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 36, ""train_mra"": 0.3138888888888889}}}","{""p75"": 42, ""p90"": 112}"
tree_depth2_cv,4,33.67909238249595,30.129870129870127,"{""family"": ""tree_depth2"", ""train_mra"": 0.3367909238249595, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 8.049464798598882, ""count"": 617, ""left"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.7193877551020407, ""count"": 581, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 551, ""train_mra"": 0.3339382940108893}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 30, ""train_mra"": 0.46}}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 36, ""train_mra"": 0.2777777777777778}}}","{""p75"": 17, ""p90"": 137}"
