experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,31.50974025974026,31.35483870967742,"{""family"": ""near_gate"", ""train_mra"": 0.3150974025974026, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 154}"
near_gate_cv,1,31.21555915721232,32.922077922077925,"{""family"": ""near_gate"", ""train_mra"": 0.3121555915721232, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,2,31.799027552674232,30.584415584415588,"{""family"": ""near_gate"", ""train_mra"": 0.3179902755267423, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,3,30.097244732576982,37.4025974025974,"{""family"": ""near_gate"", ""train_mra"": 0.30097244732576983, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,4,33.160453808752024,25.12987012987013,"{""family"": ""near_gate"", ""train_mra"": 0.3316045380875203, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
spread_gate_cv,0,31.68831168831169,31.74193548387097,"{""family"": ""spread_gate"", ""train_mra"": 0.3168831168831169, ""threshold_p90"": 0.699522888049418, ""threshold_spread"": 0.26162022436589755, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 155}"
spread_gate_cv,1,31.296596434359802,33.31168831168831,"{""family"": ""spread_gate"", ""train_mra"": 0.312965964343598, ""threshold_p90"": 0.7001287634695965, ""threshold_spread"": 0.2686937530478547, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
spread_gate_cv,2,31.977309562398702,30.584415584415588,"{""family"": ""spread_gate"", ""train_mra"": 0.31977309562398704, ""threshold_p90"": 0.6935429623795363, ""threshold_spread"": 0.26745557469016634, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
spread_gate_cv,3,30.275526742301462,37.4025974025974,"{""family"": ""spread_gate"", ""train_mra"": 0.3027552674230146, ""threshold_p90"": 0.6950210969966252, ""threshold_spread"": 0.2816272110978968, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
spread_gate_cv,4,33.25769854132901,25.454545454545457,"{""family"": ""spread_gate"", ""train_mra"": 0.3325769854132901, ""threshold_p90"": 0.7242622326456164, ""threshold_spread"": 0.26235233910955086, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 4, ""p90"": 150}"
stump_cv,0,32.353896103896105,30.193548387096776,"{""family"": ""stump"", ""train_mra"": 0.32353896103896107, ""feature"": ""accepted_candidate_mean"", ""threshold"": 2.8117376294591487, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 49, ""p90"": 106}"
stump_cv,1,32.042139384116695,33.63636363636363,"{""family"": ""stump"", ""train_mra"": 0.3204213938411669, ""feature"": ""skew"", ""threshold"": 8.337699879250085, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 8, ""p90"": 146}"
stump_cv,2,32.706645056726096,30.77922077922078,"{""family"": ""stump"", ""train_mra"": 0.32706645056726097, ""feature"": ""skew"", ""threshold"": 8.859953876328284, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 3, ""p90"": 151}"
