cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
geom,0.3,918,delta_clean,dt2,0.08169073348710477,31.136536994660567,32.62836185819071,158,49,47,62,7.100000000000002
geom,0.3,918,delta_clean,dt3,0.05972049777029313,31.136536994660567,32.62836185819071,158,49,47,62,7.100000000000002
linear,0.2,1049,clean,gbrt,-0.0010247595155333028,32.151029748283754,32.6161369193154,116,39,34,43,7.0
linear,0.3,918,clean,gbrt,-0.006269574297096328,32.196796338672776,32.603911980440095,124,41,38,45,6.9
geom,0.1,1180,clean,lgbm,-0.0014363266627719009,32.311212814645316,32.603911980440095,131,44,34,53,6.9
recall,0.0,1311,delta_clean,lgbm,0.036619676194208924,32.12051868802441,32.603911980440095,188,51,64,73,6.900000000000001
recall,0.3,918,clean,lgbm,0.00019416748958112287,32.273073989321134,32.603911980440095,129,41,35,53,6.9
recall,0.4,787,delta_clean2,rf,0.02509558976358335,32.265446224256294,32.591687041564796,184,57,56,71,6.799999999999999
geom,0.2,1049,clean,lgbm,0.0036592698809342836,32.311212814645316,32.57946210268949,118,41,30,47,6.700000000000001
recall,0.4,787,delta_clean,gbrt,0.04333789258680461,32.00610221205187,32.57946210268949,178,50,59,69,6.700000000000001
geom,0.0,1311,delta_clean,lgbm,0.037346563727909156,32.0976353928299,32.56723716381418,190,51,65,74,6.600000000000002
linear,0.1,1180,delta_clean,lgbm,0.05114892535680309,32.273073989321134,32.55501222493888,150,43,51,56,6.500000000000001
geom,0.4,787,clean,lgbm,0.004125482904887184,32.22730739893211,32.55501222493887,113,39,29,45,6.499999999999999
