experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,31.37987012987013,32.25806451612903,"{""family"": ""near_gate"", ""train_mra"": 0.3137987012987013, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 155}"
near_gate_cv,1,31.83144246353323,30.454545454545457,"{""family"": ""near_gate"", ""train_mra"": 0.31831442463533227, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,2,31.13452188006483,32.857142857142854,"{""family"": ""near_gate"", ""train_mra"": 0.3113452188006483, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 153}"
near_gate_cv,3,31.66936790923825,31.1038961038961,"{""family"": ""near_gate"", ""train_mra"": 0.3166936790923825, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,4,31.766612641815232,30.71428571428571,"{""family"": ""near_gate"", ""train_mra"": 0.31766612641815234, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
spread_gate_cv,0,31.558441558441558,32.25806451612903,"{""family"": ""spread_gate"", ""train_mra"": 0.3155844155844156, ""threshold_p90"": 0.713062055581217, ""threshold_spread"": 0.2795215980882596, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 154}"
spread_gate_cv,1,31.847649918962723,30.324675324675326,"{""family"": ""spread_gate"", ""train_mra"": 0.3184764991896272, ""threshold_p90"": 1.394156397183156, ""threshold_spread"": 0.17336739328062253, ""tight_quantile"": ""median"", ""loose_quantile"": ""p90""}","{""median"": 6, ""p90"": 148}"
spread_gate_cv,2,31.312803889789304,33.246753246753244,"{""family"": ""spread_gate"", ""train_mra"": 0.31312803889789304, ""threshold_p90"": 0.6928632054173337, ""threshold_spread"": 0.2631030649052474, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p90"": 154}"
spread_gate_cv,3,31.880064829821713,30.974025974025977,"{""family"": ""spread_gate"", ""train_mra"": 0.31880064829821714, ""threshold_p90"": 0.7143891842609763, ""threshold_spread"": 0.25722753590397823, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
spread_gate_cv,4,31.944894651539705,30.71428571428571,"{""family"": ""spread_gate"", ""train_mra"": 0.31944894651539707, ""threshold_p90"": 0.7130593415207805, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
