experiment,fold,train_mra_percent,val_mra_percent,rule_json,val_quantile_counts_json
near_gate_cv,0,30.957792207792206,33.935483870967744,"{""family"": ""near_gate"", ""train_mra"": 0.30957792207792206, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 155}"
near_gate_cv,1,30.90761750405186,33.76623376623377,"{""family"": ""near_gate"", ""train_mra"": 0.3090761750405186, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3782122232625908}","{""p05"": 1, ""p90"": 153}"
near_gate_cv,2,31.71799027552674,30.909090909090907,"{""family"": ""near_gate"", ""train_mra"": 0.3171799027552674, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,3,32.139384116693684,29.22077922077922,"{""family"": ""near_gate"", ""train_mra"": 0.3213938411669368, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
near_gate_cv,4,32.05834683954619,29.545454545454547,"{""family"": ""near_gate"", ""train_mra"": 0.3205834683954619, ""near_quantile"": ""p05"", ""threshold_p90"": 0.3065925673219046}","{""p90"": 154}"
spread_gate_cv,0,31.13636363636364,33.935483870967744,"{""family"": ""spread_gate"", ""train_mra"": 0.3113636363636364, ""threshold_p90"": 0.699522888049418, ""threshold_spread"": 0.2630445343308522, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 154}"
spread_gate_cv,1,31.08589951377634,34.15584415584416,"{""family"": ""spread_gate"", ""train_mra"": 0.3108589951377634, ""threshold_p90"": 0.7130593415207805, ""threshold_spread"": 0.2816272110978968, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,2,31.92868719611021,30.77922077922078,"{""family"": ""spread_gate"", ""train_mra"": 0.3192868719611021, ""threshold_p90"": 0.7001287634695965, ""threshold_spread"": 0.26437764453560236, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 1, ""p90"": 153}"
spread_gate_cv,3,32.20421393841167,29.675324675324678,"{""family"": ""spread_gate"", ""train_mra"": 0.3220421393841167, ""threshold_p90"": 0.7242622326456164, ""threshold_spread"": 0.2638518758032769, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
spread_gate_cv,4,32.139384116693684,29.935064935064936,"{""family"": ""spread_gate"", ""train_mra"": 0.3213938411669368, ""threshold_p90"": 0.6935429623795363, ""threshold_spread"": 0.26745557469016634, ""tight_quantile"": ""p25"", ""loose_quantile"": ""p90""}","{""p25"": 2, ""p90"": 152}"
stump_cv,0,31.948051948051948,32.96774193548387,"{""family"": ""stump"", ""train_mra"": 0.3194805194805195, ""feature"": ""skew"", ""threshold"": 4.928295334622847, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 24, ""p90"": 131}"
stump_cv,1,31.71799027552674,34.935064935064936,"{""family"": ""stump"", ""train_mra"": 0.3171799027552674, ""feature"": ""skew"", ""threshold"": 8.624499087708344, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 13, ""p90"": 141}"
stump_cv,2,32.80388978930308,30.129870129870127,"{""family"": ""stump"", ""train_mra"": 0.3280388978930308, ""feature"": ""skew"", ""threshold"": 7.606701090758605, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 8, ""p90"": 146}"
stump_cv,3,32.94975688816856,29.545454545454547,"{""family"": ""stump"", ""train_mra"": 0.3294975688816856, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.6083739045764363, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 13, ""p90"": 141}"
stump_cv,4,32.85251215559157,29.48051948051948,"{""family"": ""stump"", ""train_mra"": 0.3285251215559157, ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.0742801502295176, ""left_quantile"": ""p90"", ""right_quantile"": ""p75""}","{""p75"": 41, ""p90"": 113}"
tree_depth2_cv,0,32.67857142857143,31.225806451612904,"{""family"": ""tree_depth2"", ""train_mra"": 0.3267857142857143, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 4.927113767047427, ""count"": 616, ""left"": {""type"": ""node"", ""feature"": ""obj1_present_ratio"", ""threshold"": 0.8031250000000001, ""count"": 545, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 504, ""train_mra"": 0.3136904761904762}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 41, ""train_mra"": 0.4853658536585366}}, ""right"": {""type"": ""node"", ""feature"": ""frame_pc2_std"", ""threshold"": 113.03402867205108, ""count"": 71, ""left"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 45, ""train_mra"": 0.34888888888888886}, ""right"": {""type"": ""leaf"", ""quantile"": ""median"", ""count"": 26, ""train_mra"": 0.29230769230769227}}}}","{""median"": 11, ""p75"": 27, ""p90"": 117}"
tree_depth2_cv,1,32.414910858995135,35.064935064935064,"{""family"": ""tree_depth2"", ""train_mra"": 0.3241491085899514, ""min_leaf"": 20, ""tree"": {""type"": ""node"", ""feature"": ""skew"", ""threshold"": 7.270048552542072, ""count"": 617, ""left"": {""type"": ""node"", ""feature"": ""accepted_candidate_mean"", ""threshold"": 3.7528571428571427, ""count"": 581, ""left"": {""type"": ""leaf"", ""quantile"": ""p90"", ""count"": 549, ""train_mra"": 0.3140255009107468}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 32, ""train_mra"": 0.471875}}, ""right"": {""type"": ""leaf"", ""quantile"": ""p75"", ""count"": 36, ""train_mra"": 0.3472222222222222}}}","{""p75"": 25, ""p90"": 129}"
