name,cv_mra_percent,p75_count,p90_count,benefit,tie,harm,switch_delta_sum
v1_core2,32.591687041564796,139,679,41,51,47,6.799999999999999
v2_core2_far_guard_p90,32.78728606356968,117,701,38,47,32,8.400000000000002
v2_core2_far_guard_median,32.75061124694376,140,678,42,54,44,8.099999999999998
v3_delta_tree,31.65036674816626,386,432,79,158,149,-0.9000000000000004
v4_delta_tree_far_guard_p90,31.90709046454768,211,607,46,94,71,1.1999999999999997
v4_delta_tree_far_guard_median,32.02933985330073,142,676,38,46,58,2.2
